"business_id","name","address","city","state","stars","review_count","is_open","attribute.RestaurantsAttire","attribute.RestaurantsTakeOut","attribute.BusinessAcceptsCreditCards","attribute.NoiseLevel","attribute.GoodForKids","attribute.RestaurantsReservations","attribute.RestaurantsGoodForGroups","attribute.BusinessParking","attribute.RestaurantsPriceRange2","attribute.HasTV","attribute.Alcohol","attribute.BikeParking","attribute.RestaurantsDelivery","attribute.OutdoorSeating","attribute.Caters","attribute.WiFi","attribute.Ambience","attribute.GoodForMeal","hours.categories","hours.Monday","hours.Tuesday","hours.Wednesday","hours.Thursday","hours.Friday","hours.Saturday","hours.Sunday"
"G4JLnk8TkeAhZ71V4Pof8A","Panda Express","4155 William Penn Hwy","Monroeville","PA",3,35,1,"u'casual'","True","True","u'average'","True","False",NA,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}","2","True","u'none'",NA,"True",NA,NA,NA,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}","Fast Food, Restaurants, Chinese","10:30-22:0","10:30-22:0","10:30-22:0","10:30-22:0","10:30-22:30","10:30-22:30","11:0-21:0"
"AfoBKJuGBJvQhc3By4K9Dg","Kushi Bar Muramoto","106 King St","Madison","WI",4,29,0,"u'casual'","True","True",NA,"False","False","False","{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}","3",NA,"'full_bar'",NA,"False","True",NA,NA,NA,NA,"Asian Fusion, Japanese, Restaurants","17:0-2:0","17:0-2:0","17:0-2:0","17:0-2:0","17:0-2:30","17:0-2:30",NA
"ecXP80GWT6zZ2qqZHpUCtQ","Muramoto Downtown","108 King St","Madison","WI",4,43,1,"'casual'","True","True","u'average'","False","True","True","{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}","2","False","u'full_bar'","True","False","True","False","'no'","{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}","{'dessert': None, 'latenight': None, 'lunch': True, 'dinner': None, 'brunch': None, 'breakfast': None}","Bars, Cocktail Bars, Restaurants, Asian Fusion, Sushi Bars, Nightlife","17:0-21:0","17:0-21:0","17:0-21:0","17:0-21:0","17:0-22:0","17:0-22:0",NA
"pW-fOxuaWBkIhum5NANx2w","China Sea Express","1507 Euclid Ave","Cleveland","OH",3,11,0,"u'casual'","True","True","u'quiet'","True",NA,"True","{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}","1","False","u'none'",NA,"True","False","False","u'no'","{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}",NA,"Restaurants, Chinese",NA,NA,NA,NA,NA,NA,NA
"Q3zZTpHQBSbiPq2lLaTtgw","Sichuan Palace","60 Federal Dr","Pittsburgh","PA",4,17,1,"'casual'","True","True","u'quiet'","True","True","True","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","2","True",NA,"False","False","False",NA,NA,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}","Imported Food, Ethnic Food, Szechuan, Food, Specialty Food, Restaurants, Chinese","11:30-21:30","11:30-21:30","11:30-21:30","11:30-21:30","11:30-22:0","11:30-22:0","12:30-21:0"
"qhuuWs1eshxEHhTSfGV2rg","Sapporo Asian Cuisine & Sushi Bar","3747 William Penn Hwy","Monroeville","PA",4,5,0,"u'casual'","True","True","u'average'","True","True","True","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","2","True","u'none'",NA,"True","False","True","u'free'","{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}",NA,"Japanese, Chinese, Restaurants, Sushi Bars",NA,NA,NA,NA,NA,NA,NA
"ui33pIJmkW0s8HddH_ZZ9A","Wild Fusion","3815 Center Rd","Brunswick","OH",4,56,1,"u'casual'","True","True","u'quiet'","True","False","False","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","1","True","u'none'","False","False","False","False","u'no'","{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",NA,"Sushi Bars, Restaurants, Chinese",NA,NA,NA,NA,NA,NA,NA
"rf8x3ZTUwzmRUyJgoIZllQ","Spicy Tang","611 E Green St","Champaign","IL",3,12,0,"'casual'","True","True",NA,"False","False","False",NA,"1",NA,NA,NA,"False",NA,NA,NA,NA,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}","Chinese, Restaurants",NA,NA,NA,NA,NA,NA,NA
"CZzRtq0HQKwbBaJJi-Xpnw","China Cafe","11520 Clifton Blvd","Cleveland","OH",3,22,0,"'casual'","True","True",NA,"True","False","True","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","1","True",NA,"True","True","False",NA,"'no'","{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}","Restaurants, Chinese","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","12:0-22:0"
"-R_dMb9Z1eBv_FlYZrrKbw","Oriental Wok","532 S Park St","Madison","WI",2.5,20,1,"'casual'","True","True",NA,"True",NA,"True","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","1",NA,NA,NA,"True","False","False",NA,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",NA,"Restaurants, Chinese","11:0-1:10","11:0-1:10","11:0-1:10","11:0-1:10","11:0-1:10","11:0-1:10","11:0-1:10"
"dazGlP4Rk4nxlyMtlvkpvA","Dragon I","422 State St","Madison","WI",2.5,76,1,"u'casual'","True","True","u'average'","True","True","True","{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}","2","True","u'full_bar'","True","True","False","True","u'free'","{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': True, 'upscale': False, 'casual': False}",NA,"Asian Fusion, Chinese, Restaurants","11:0-21:30","11:0-21:30","11:0-21:30","11:0-21:30","11:0-22:0","11:0-22:0","11:0-21:30"
"hSfsnEa9q1Xx-0lAYDTLGw","Chang Jiang Chinese Restaurant","1200 Springdale St","Mount Horeb","WI",3.5,3,1,NA,NA,NA,NA,NA,NA,NA,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",NA,NA,NA,NA,"False",NA,NA,NA,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}",NA,"Chinese, Restaurants",NA,"10:30-21:30","10:30-21:30","10:30-21:30","10:30-22:30","10:30-22:30","11:30-21:30"
"mpG1R1ktTI3x1twNBsGvXQ","Blue Ginger Asian Bistro","1061 W Pleasant Valley Rd","Parma","OH",4,155,1,"'casual'","True","True","'average'","True","True","True","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}","2","True","u'full_bar'","True","False","False","False","u'free'","{'touristy': False, 'hipster': False, 'romantic': None, 'divey': False, 'intimate': False, 'trendy': None, 'upscale': False, 'classy': None, 'casual': True}","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}","Sushi Bars, Restaurants, Chinese, Asian Fusion, Japanese","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:30","12:0-22:30","12:0-22:0"
"v8jZKf_YN7ayVy6ksyoiKg","Bamboo Garden","1720 Greensburg Ave","North Versailles","PA",3,10,1,"'casual'","True","True","'quiet'","True","False","True","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","1","True","'none'",NA,"True","False","False","'no'","{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}","Chinese, Restaurants",NA,NA,NA,NA,NA,NA,NA
"vYRxMRpdUES85ZEpiQwjgg","Chopstick House","2798 Robinson Blvd","Pittsburgh","PA",4,6,1,"'casual'","True","True",NA,"False","False","True",NA,"2",NA,NA,NA,"True",NA,NA,NA,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}","Restaurants, Chinese",NA,NA,NA,NA,NA,NA,NA
"4_sXnBAHU3lGxVfPUn0CNQ","Number 1 Kitchen","10670 Lorain Ave","Cleveland","OH",2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chinese, Restaurants",NA,NA,NA,NA,NA,NA,NA
"PhNdyQTtZjOQ1bqoT4S3oA","China Bay","6820 Biddulph Rd","Cleveland","OH",4,32,1,"u'casual'","True","True","u'quiet'","True","False","False","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","1","True","'none'","False","True","False","False","u'no'","{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",NA,"Restaurants, Cantonese, Chinese, Szechuan","10:30-22:30","10:30-22:30","10:30-22:30","10:30-22:30","10:30-23:0","10:30-23:0","10:30-22:0"
"p2RqycIW2jzjbQnkEw5lkA","Noodles & Company","6520 Monona Dr At Pier 37","Monona","WI",2.5,37,1,"u'casual'","True","True","u'average'","True","False","True","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","1","True","u'beer_and_wine'","True","False","False","True","'no'","{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}",NA,"Comfort Food, Asian Fusion, Restaurants, Thai, Italian, Chinese, Noodles, Pasta Shops, Food, Salad, Specialty Food","0:0-0:0","10:30-21:0","10:30-22:0","10:30-22:0","10:30-22:0","10:30-22:0","10:30-21:0"
"mdNbptkRKH1Jj2iRqBgq_g","Golden Bowl","649 Chestnut Commons Dr","Elyria","OH",4,20,1,"'casual'","True","True","u'quiet'","True","False","True","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","1","True","'none'","True","True","False",NA,"'no'","{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}","Chinese, Restaurants","10:30-22:0","10:30-22:0","10:30-22:0","10:30-22:0","10:30-23:0","10:30-23:0","11:30-21:30"
"6lgkTtACpJR5Kijkc050KQ","Dragon Garden Restaurant","9415 Olde 8 Rd","Northfield","OH",3.5,39,1,"u'casual'","True","True","u'quiet'","True","True","True","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}","1","True","u'full_bar'","True","False","False",NA,"u'no'","{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}",NA,"Chinese, Restaurants, Japanese, Sushi Bars","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:30","11:0-22:30","12:0-22:30","12:0-21:0"
"M7SEPUqtCFtZJ8O8hFGY4A","Panda Express","3244 Steelyard Dr","Cleveland","OH",2.5,16,1,NA,NA,NA,NA,NA,NA,NA,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",NA,"True",NA,NA,NA,NA,NA,NA,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}","Fast Food, Chinese, Restaurants","10:30-21:30","10:30-21:30","10:30-21:30","10:30-21:30","10:30-22:0","10:30-22:0","10:30-21:30"
"9X3XAKb51B4meUDC_NFnsA","Golden Dragon Chinese Restaurant","114 Tropiano Ln","Irwin","PA",5,4,1,"'casual'","True","True",NA,"True","False","True",NA,"1",NA,NA,NA,"False",NA,NA,NA,NA,NA,"Restaurants, Chinese",NA,NA,NA,NA,NA,NA,NA
"YU7KZJP0LsLcvU4eIHhtfw","Hunan Wok Chinese Restaurant","1822 Homeville Rd","West Mifflin","PA",3.5,7,1,"u'casual'","True","False","u'quiet'","True","False","True","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","1","True","u'none'",NA,"False","False","False","u'no'","{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}",NA,"Chinese, Restaurants",NA,NA,NA,NA,NA,NA,NA
"dqnShtl304m2oO1Nel5GSg","Feet Paradise Reflexology","2024 Murray Ave","Pittsburgh","PA",4.5,16,1,NA,NA,"True","u'quiet'",NA,NA,NA,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}","2",NA,NA,"False",NA,NA,NA,"u'free'",NA,NA,"Beauty & Spas, Massage, Health & Medical, Traditional Chinese Medicine, Tui Na, Reflexology","10:0-22:0","10:0-17:0","10:0-22:0","10:0-17:0","10:0-22:0","10:0-22:0","10:0-21:30"
"8LUKD_9rkJoUIIuT9uiDbA","Rice Inn","5041 Library Rd","Bethel Park","PA",4,115,1,"u'casual'","True","True","'quiet'","True","False","True","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}","2","True","u'none'","True","True","False","False","'no'","{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}","Restaurants, Asian Fusion, Chinese, Sushi Bars, Thai","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","12:0-21:0"
"a39B-BfbCipNkNH7vwCfug","Mid-Summer Lounge","623 E Green St","Champaign","IL",4,72,1,"'casual'","True","True","u'average'","True","False","True","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","1","False","u'none'","True","False","False","False","u'no'","{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': True, 'upscale': False, 'classy': True, 'casual': True}","{'dessert': False, 'latenight': None, 'lunch': True, 'dinner': True, 'brunch': None, 'breakfast': False}","Chinese, Restaurants, Bars, Noodles, Lounges, Nightlife, Asian Fusion","10:0-21:30","10:0-21:30","10:0-21:30","10:0-21:30","10:0-21:30","10:0-21:30","10:0-21:30"
"5qtc1s-TKdgzPccKwY4SRw","Silk Pagoda Restaurant","4070 Beechwood Blvd","Pittsburgh","PA",3,14,0,"u'casual'","True","True","u'loud'","True",NA,"True","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","2",NA,"u'full_bar'",NA,"True","False",NA,NA,NA,NA,"Chinese, Restaurants",NA,NA,NA,NA,NA,NA,NA
"uno5w5Zkhwn-yFkJgFuYOw","Asian Cuisine","4528 Broadway Blvd","Monroeville","PA",4.5,4,1,"'casual'","True","True","'quiet'","True","False","False","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","1","True","'none'","False","False","False",NA,NA,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}","Restaurants, Asian Fusion, Chinese, Thai","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-23:0","11:0-23:0","12:0-22:0"
"bfF90MspMbqLWdcEU9JLcg","Wild Ginger China Bistro","5092 Tiedeman Rd","Cleveland","OH",3,48,0,"u'casual'","True","True","u'average'","True","True","True","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}","2","True","u'full_bar'","True","False","False","False","u'no'","{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}","Restaurants, Chinese","11:0-21:0","11:0-21:0","11:0-21:0","11:0-21:0","11:0-22:0","11:0-22:0","11:0-21:0"
"WdtmkT5lWzW167T3rBxKsw","China House","22316 Lake Shore Blvd","Euclid","OH",3,11,1,"u'casual'","True","True","u'quiet'","True","False","False","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","1","True","u'none'","True","False","False","False","u'no'","{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}","Restaurants, Chinese",NA,NA,NA,NA,NA,NA,NA
"VUDwlypqw1-DTK_lfEP4jg","Panda","238 Crafton Ingram Shp Ctr","Pittsburgh","PA",2.5,11,1,"u'casual'","True","True","u'quiet'","True","True","True",NA,"2","True","u'none'","True","True","False","True",NA,NA,NA,"Buffets, Chinese, Food, Restaurants",NA,"11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:30","11:0-22:30","12:0-22:0"
"QlAPX3c0Vm2dU_w3puIAIw","Double 10 Mini Hot Pot","1272 S Park St","Madison","WI",4.5,167,1,"u'casual'","True","True","u'average'","True","True","True","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}","2","False","u'none'","True","True","False","False","u'free'","{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}","Restaurants, Hot Pot, Asian Fusion, Chinese",NA,"11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0"
"yGdO0huBvnAhyEX7fZO7og","Honeymoon Chinese Restaurant","6348 Library Rd","South Park","PA",3.5,20,1,"u'casual'","True","True","u'quiet'","False","False","False","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}","1","True","u'none'","True","True","False","False","u'free'","None",NA,"Restaurants, Chinese","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-23:0","11:0-23:0","11:0-22:0"
"N3ZbTZfWC_oyIUxuX9KJYA","Teriyaki Express","13201 Superior Ave","East Cleveland","OH",2,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Japanese, Fast Food, Chinese, Restaurants",NA,NA,NA,NA,NA,NA,NA
"aURWnSm0BrHhp-0DSXFJww","House of Hunan","7571 Pearl Rd","Cleveland","OH",4,15,1,"u'casual'","True","True","u'quiet'","True","True","True","{'garage': None, 'street': None, 'validated': None, 'lot': True, 'valet': False}","2","True","u'none'","False",NA,"False",NA,"u'no'","{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}","Chinese, Restaurants",NA,NA,NA,NA,NA,NA,NA
"JftoP9r6TT98v83hfY9RZw","Mandarin House Chinese Restaurant","10393 W Pleasant Valley Rd","Cleveland","OH",3.5,35,1,"u'casual'","True","True","u'quiet'","True","False","True","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}","1","True","u'beer_and_wine'",NA,"False","False","False","u'no'","{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}",NA,"Chinese, Restaurants, Food, Vietnamese",NA,NA,NA,NA,NA,NA,NA
"BIqsItY0vyOshMpJ0I4cPg","How Lee Chinese Food","5888 Forbes Ave","Pittsburgh","PA",3.5,264,1,"u'casual'","True","True","u'average'","True","True","True","{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}","2","True","u'none'","True","True","False","False","u'no'","{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}","Restaurants, Chinese","11:0-21:30","11:0-21:30","11:0-21:30","11:0-21:30","11:0-22:0","11:0-22:0","12:0-21:30"
"R_Z2wQ5dSBihyGVwDFKaeg","East China","16834 Chagrin","Shaker Heights","OH",3,9,1,"u'casual'","True","False",NA,"True","False","True","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","1","True","u'none'",NA,"False","False",NA,NA,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",NA,"Restaurants, Chinese",NA,NA,NA,NA,NA,NA,NA
"nDT0T3yW6G89vzdx4p_P4A","Jin House","2255 Kresge Dr","Amherst","OH",3.5,111,1,"u'casual'","True","True","u'average'","True","False","True","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","1","True","u'none'","False","False","False","True","u'no'","{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}","Asian Fusion, Restaurants, Chinese, Japanese","11:0-22:30","11:0-22:30","11:0-22:30","11:0-22:30","11:0-23:0","11:0-23:0","12:0-22:0"
